,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0019886,GO:0019886,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,13/891,97/17913,0.001013796,0.016569537,0.013673981,CTSD/CTSL/CTSS/DYNC1I1/KIF22/RACGAP1/KIF23/KIF2C/KIF15/KIF11/CENPE/KIF4A/KIF18A,13,0,,
GO:0030509,GO:0030509,GO:0030509,BMP signaling pathway,16/891,134/17913,0.001018318,0.016590102,0.013690952,BMP2/BMP7/BMP4/BMP6/TMEM100/SFRP1/SMPD3/GREM2/FSTL3/SULF1/BMPR1B/FBN1/GDF6/SCX/SFRP4/COMP,16,0,,
GO:0055025,GO:0055025,GO:0055025,positive regulation of cardiac muscle tissue development,10/891,63/17913,0.00102365,0.016623681,0.013718663,MIR17HG/BMP4/FGFR2/PIM1/GATA6/GLI1/WNT2/NRG1/CDK1/CCNB1,10,0,,
GO:0046661,GO:0046661,GO:0046661,male sex differentiation,18/891,160/17913,0.001029498,0.016665414,0.013753104,NR0B1/BMP6/BCL2L11/SFRP1/TFAP2C/RRM1/HMGB2/MAMLD1/GATA6/FSTL3/FANCA/INHBA/BRIP1/SCX/KIF18A/SDC1/ASPM/WNT4,18,0,,
GO:0070482,GO:0070482,GO:0070482,response to oxygen levels,34/891,389/17913,0.001054923,0.017022774,0.014048014,PTGS2/BMP2/STC1/CBFA2T3/BMP7/HMOX1/PPARGC1A/TLR2/DPP4/RWDD3/NR4A2/SFRP1/FMN2/UCP2/EIF4EBP1/KCNMA1/GATA6/PLOD2/APOLD1/E2F1/COL1A1/AQP1/SLC8A1/PLAT/BRIP1/ATP1B1/TEK/NOX4/CCNA2/POSTN/CCNB1/OXTR/VCAM1/ANKRD1,34,0,,
GO:0002573,GO:0002573,GO:0002573,myeloid leukocyte differentiation,21/891,201/17913,0.001080046,0.01737302,0.014337055,EVI2B/NRROS/CBFA2T3/TLR2/OSCAR/MAFB/BMP4/SFRP1/CEBPB/RUNX1/SH3PXD2A/FSTL3/FBN1/INHBA/RASSF2/LRRC17/MMP9/LIF/F2RL1/GPR183/TSPAN2,21,0,,
GO:0032392,GO:0032392,GO:0032392,DNA geometric change,12/891,86/17913,0.001093874,0.017445225,0.014396641,TREX1/RECQL/FANCM/HMGB2/RAD54B/RAD51/BLM/GINS1/GINS4/CDC45/BRIP1/TOP2A,12,0,,
GO:1901863,GO:1901863,GO:1901863,positive regulation of muscle tissue development,12/891,86/17913,0.001093874,0.017445225,0.014396641,MIR17HG/PPARGC1A/BMP4/DLL1/FGFR2/PIM1/GATA6/GLI1/WNT2/NRG1/CDK1/CCNB1,12,0,,
GO:0090092,GO:0090092,GO:0090092,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,22/891,215/17913,0.001094831,0.017445225,0.014396641,NRROS/BMP2/MIR17HG/BMP7/BMP4/BMP6/SFRP1/HSPA1A/GREM2/FSTL3/SULF1/FBN1/INHBA/PMEPA1/GDF6/PRDM16/GDF10/SFRP4/RASL11B/LDLRAD4/TTK/ASPN,22,0,,
GO:0032964,GO:0032964,GO:0032964,collagen biosynthetic process,9/891,53/17913,0.001102985,0.01746908,0.014416328,BMP4/UCN/ADAMTS3/COL1A1/F2R/COL5A1/SERPINB7/SCX/WNT4,9,0,,
GO:0006334,GO:0006334,GO:0006334,nucleosome assembly,16/891,135/17913,0.001103202,0.01746908,0.014416328,CENPL/HMGB2/CHAF1A/CHAF1B/CENPO/ASF1B/CENPH/CENPK/CENPI/NAP1L3/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,16,0,,
GO:0001657,GO:0001657,GO:0001657,ureteric bud development,13/891,98/17913,0.001116794,0.017574811,0.014503582,BMP2/PGF/AGT/BMP7/TACSTD2/BMP4/SFRP1/KIF26B/FGF1/FGFR2/CRLF1/SDC1/WNT4,13,0,,
GO:0010522,GO:0010522,GO:0010522,regulation of calcium ion transport into cytosol,13/891,98/17913,0.001116794,0.017574811,0.014503582,HAP1/CEMIP/BDKRB1/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/DRD1/SLC8A1/NTSR1/JPH3,13,0,,
GO:0097329,GO:0097329,GO:0097329,response to antimetabolite,5/891,17/17913,0.001128587,0.017705578,0.014611497,TREX1/DHFR/TIMELESS/BLM/ASNS,5,0,,
GO:0060135,GO:0060135,GO:0060135,maternal process involved in female pregnancy,10/891,64/17913,0.001160141,0.018144612,0.014973809,PTGS2/GJB2/STC1/LGALS9/AKR1B1/SPP1/ADCY7/DSG2/LIF/WNT4,10,0,,
GO:0000302,GO:0000302,GO:0000302,response to reactive oxygen species,23/891,230/17913,0.001165458,0.018171844,0.014996282,MMP3/BMP7/HMOX1/PPARGC1A/NR4A3/TREX1/SMPD3/UCP2/DHFR/ECT2/EZH2/TXNIP/NET1/COL1A1/AQP1/SLC8A1/PYCR1/MET/TPM1/CDK1/CCNA2/MMP9/SDC1,23,0,,
GO:0001892,GO:0001892,GO:0001892,embryonic placenta development,12/891,87/17913,0.001212683,0.01876743,0.015487788,RSPO3/BMP7/CEBPB/SOCS3/FGFR2/E2F7/MDFI/WNT2/PLK4/E2F8/LIF/SPINT2,12,0,,
GO:1904029,GO:1904029,GO:1904029,regulation of cyclin-dependent protein kinase activity,12/891,87/17913,0.001212683,0.01876743,0.015487788,DIRAS3/HERC5/CDC25A/CKS2/PSRC1/BLM/PKMYT1/CDC6/PLK1/CCNB1/CDC25C/CDKN3,12,0,,
GO:0035690,GO:0035690,GO:0035690,cellular response to drug,32/891,362/17913,0.001214732,0.01876743,0.015487788,HTR1B/PTGS2/MMP3/GJB2/HMOX1/PPARGC1A/TMEM38A/NR4A3/ADCY1/TMEM38B/TREX1/SFRP1/PLCB1/SMPD3/TIMELESS/ECT2/EIF4EBP1/EZH2/RAD51/FBXO32/NET1/ADCY7/AQP1/DRD1/BLM/SLC8A1/BRCA1/PYCR1/MET/CDK1/CCNA2/PPP1R14A,32,0,,
GO:0072163,GO:0072163,GO:0072163,mesonephric epithelium development,13/891,99/17913,0.001228379,0.018863598,0.015567151,BMP2/PGF/AGT/BMP7/TACSTD2/BMP4/SFRP1/KIF26B/FGF1/FGFR2/CRLF1/SDC1/WNT4,13,0,,
GO:0072164,GO:0072164,GO:0072164,mesonephric tubule development,13/891,99/17913,0.001228379,0.018863598,0.015567151,BMP2/PGF/AGT/BMP7/TACSTD2/BMP4/SFRP1/KIF26B/FGF1/FGFR2/CRLF1/SDC1/WNT4,13,0,,
GO:0051480,GO:0051480,GO:0051480,regulation of cytosolic calcium ion concentration,27/891,289/17913,0.0012794,0.019587918,0.016164895,HAP1/HTR1B/MCOLN2/CEMIP/AGT/BDKRB1/MCOLN3/BDKRB2/CACNB2/PLCG2/CDH23/S1PR1/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/TGM2/OXTR/F2RL1/CHRNA9/JPH3,27,0,,
GO:0050769,GO:0050769,GO:0050769,positive regulation of neurogenesis,38/891,455/17913,0.001283405,0.019590234,0.016166807,HAP1/BMP2/SERPINI1/MIR221/AGT/BMP7/RIMS2/TLR2/BMP4/BMP6/NTN1/MDK/RNF157/GPRC5B/LTK/NGF/ECT2/EZH2/TENM3/ITGA6/SKIL/GLI2/FN1/E2F1/NRCAM/NEGR1/CAMK1D/XRCC2/TENM4/TUBB2B/GDF6/ZNF365/KIF20B/TIAM1/SEMA7A/LIF/ASPM/ANKRD1,38,0,,
GO:0006801,GO:0006801,GO:0006801,superoxide metabolic process,10/891,65/17913,0.001311129,0.019953492,0.016466585,NRROS/ACP5/NOX5/AGT/BMP7/DUOX1/DHFR/SH3PXD2A/NOX4/F2RL1,10,0,,
GO:0050673,GO:0050673,GO:0050673,epithelial cell proliferation,36/891,425/17913,0.001331148,0.020197692,0.01666811,DLL4/BMP2/CCL26/PRL/NOX5/TACSTD2/HMOX1/ZFP36/F3/BMP4/BMP6/NR4A3/EGFL7/MDK/SCG2/SFRP1/CEBPB/FGF1/HMGB2/FGFR2/NFIB/SPARC/B4GALT1/SULF1/COL8A2/WFDC1/UHRF1/BRCA2/GLI1/WNT2/TEK/COL8A1/IGFBP3/IQGAP3/MIR503/LGR5,36,0,,
GO:0002495,GO:0002495,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,13/891,100/17913,0.001349097,0.020409106,0.016842579,CTSD/CTSL/CTSS/DYNC1I1/KIF22/RACGAP1/KIF23/KIF2C/KIF15/KIF11/CENPE/KIF4A/KIF18A,13,0,,
GO:0048871,GO:0048871,GO:0048871,multicellular organismal homeostasis,39/891,472/17913,0.001357992,0.020482708,0.016903319,PTGS2/USH2A/GADD45G/ABCA4/NANOS1/CTSK/PPARGC1A/CDH23/S1PR1/ATP6V1B1/BMP6/NR4A3/TNFRSF11B/ADCY1/AKR1B1/PDK4/DLL1/SLC40A1/GBA/CTSH/ACTG1/CEBPB/UCP2/ACOT11/F2R/ADCY7/AQP1/HTR2A/DRD1/PTGER3/MET/DIO2/NTSR1/IL20RB/NOX4/MRAP2/SCX/PRDM16/OXTR,39,0,,
GO:0051495,GO:0051495,GO:0051495,positive regulation of cytoskeleton organization,21/891,205/17913,0.001385649,0.020838034,0.017196551,CCL26/SCIN/CDC42EP2/SPIRE2/SFRP1/HSPA1A/NES/BAIAP2L1/CENPJ/PSRC1/POC1A/MET/LIMCH1/TPM1/TEK/PLK4/NAV3/NOX4/SPAG5/F2RL1/WNT4,21,0,,
GO:2001236,GO:2001236,GO:2001236,regulation of extrinsic apoptotic signaling pathway,17/891,151/17913,0.001391163,0.020849493,0.017206007,IL19/MIR221/AGT/HMOX1/BMP4/SCG2/SFRP1/HSPA1A/HMGB2/UNC5B/ITGA6/SKIL/DEPTOR/BMPR1B/BRCA1/INHBA/SERPINE1,17,0,,
GO:0030879,GO:0030879,GO:0030879,mammary gland development,16/891,138/17913,0.001394615,0.020849493,0.017206007,CYP19A1/PRL/BMP4/NTN1/BCL2L11/CEBPB/FGFR2/LBH/GLI2/BRCA2/EGF/WNT2/NRG1/IQGAP3/OXTR/WNT4,16,0,,
GO:0006979,GO:0006979,GO:0006979,response to oxidative stress,37/891,442/17913,0.00141778,0.021133654,0.017440511,PTGS2/MMP3/GJB2/NOX5/BMP7/SGK2/HMOX1/PPARGC1A/NR4A2/NR4A3/DUOX1/UCN/DAPK1/TREX1/HSPA1A/SMPD3/UCP2/PXDN/DHFR/ECT2/EZH2/PRR5L/TXNIP/NET1/COL1A1/AQP1/SLC8A1/FANCD2/PYCR1/MET/TPM1/NOX4/CDK1/MELK/CCNA2/MMP9/SDC1,37,0,,
GO:0032967,GO:0032967,GO:0032967,positive regulation of collagen biosynthetic process,6/891,26/17913,0.001454943,0.021427365,0.017682895,BMP4/UCN/F2R/SERPINB7/SCX/WNT4,6,0,,
GO:0060351,GO:0060351,GO:0060351,cartilage development involved in endochondral bone morphogenesis,6/891,26/17913,0.001454943,0.021427365,0.017682895,MMP13/STC1/SMPD3/COL1A1/POC1A/COMP,6,0,,
GO:0098868,GO:0098868,GO:0098868,bone growth,6/891,26/17913,0.001454943,0.021427365,0.017682895,MMP13/STC1/SMPD3/FGFR2/POC1A/COMP,6,0,,
GO:0110111,GO:0110111,GO:0110111,negative regulation of animal organ morphogenesis,7/891,35/17913,0.001456213,0.021427365,0.017682895,BMP7/TACSTD2/BMP4/TNFRSF11B/NFIB/SULF1/ASPN,7,0,,
GO:0034330,GO:0034330,GO:0034330,cell junction organization,26/891,277/17913,0.001458562,0.021427365,0.017682895,GJB2/AGT/LAMC2/ARHGAP6/SFRP1/ACTG1/RUNX1/CDH8/TLN2/TNS1/ECT2/NFASC/CADM1/ITGA6/CDH2/ANK2/FN1/F2R/DSP/CADM3/LIMCH1/TEK/SORBS1/DSG2/F2RL1/WNT4,26,0,,
GO:0002504,GO:0002504,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,13/891,101/17913,0.001479515,0.021610269,0.017833836,CTSD/CTSL/CTSS/DYNC1I1/KIF22/RACGAP1/KIF23/KIF2C/KIF15/KIF11/CENPE/KIF4A/KIF18A,13,0,,
GO:0055024,GO:0055024,GO:0055024,regulation of cardiac muscle tissue development,13/891,101/17913,0.001479515,0.021610269,0.017833836,BMP2/MIR17HG/BMP4/DLL1/FGFR2/PIM1/GATA6/JPH2/GLI1/WNT2/NRG1/CDK1/CCNB1,13,0,,
GO:2001233,GO:2001233,GO:2001233,regulation of apoptotic signaling pathway,34/891,397/17913,0.001488634,0.021681168,0.017892346,PTGS2/IL19/MIR221/AGT/LGALS9/BDKRB2/HMOX1/BMP4/NR4A2/BCL2L11/SCG2/SFRP1/CTSH/HSPA1A/MLLT11/HMGB2/UNC5B/ACKR3/CTH/BMF/ATAD5/ITGA6/SKIL/E2F1/DEPTOR/BMPR1B/TPD52L1/BRCA1/INHBA/DDIAS/SERPINE1/MMP9/RTKN2/WNT4,34,0,,
GO:0032693,GO:0032693,GO:0032693,negative regulation of interleukin-10 production,5/891,18/17913,0.001499192,0.021749837,0.017949015,MMP8/DLL1/TRIB2/PDCD1LG2/CD274,5,0,,
GO:0007100,GO:0007100,GO:0007100,mitotic centrosome separation,4/891,11/17913,0.001514612,0.021749837,0.017949015,CEP85/KIF11/AURKA/NEK2,4,0,,
GO:0061307,GO:0061307,GO:0061307,cardiac neural crest cell differentiation involved in heart development,4/891,11/17913,0.001514612,0.021749837,0.017949015,BMP7/HAND2/BMP4/SEMA3C,4,0,,
GO:0061308,GO:0061308,GO:0061308,cardiac neural crest cell development involved in heart development,4/891,11/17913,0.001514612,0.021749837,0.017949015,BMP7/HAND2/BMP4/SEMA3C,4,0,,
GO:0030199,GO:0030199,GO:0030199,collagen fibril organization,8/891,45/17913,0.001519023,0.021749837,0.017949015,ADAMTS2/ADAMTS3/COL12A1/COL1A1/COL5A1/SCX/COL11A1/COMP,8,1,,
GO:0070316,GO:0070316,GO:0070316,regulation of G0 to G1 transition,8/891,45/17913,0.001519023,0.021749837,0.017949015,RBBP8/EZH2/CDC7/RAD51/E2F1/BRCA1/RRM2/MIR503,8,0,,
GO:1901652,GO:1901652,GO:1901652,response to peptide,40/891,491/17913,0.001541778,0.022013643,0.01816672,VGF/MMP13/PTGS2/MMP3/ATP6V1C2/GJB2/KLF15/PRL/PDE3B/AGT/BMP7/TLR2/ATP6V1B1/NR4A2/NR4A3/ADCY1/AKR1B1/BCL2L11/PDK4/GNRH1/SMPD3/BAIAP2L1/UCP2/GGH/TIMELESS/EIF4EBP1/SPARC/KLF5/COL1A1/ADCY7/FBN1/ENPP1/CDC6/BRIP1/TEK/SORBS1/CCNA2/OXTR/MMP9/VCAM1,40,0,,
GO:0022617,GO:0022617,GO:0022617,extracellular matrix disassembly,11/891,78/17913,0.00159399,0.022695387,0.018729328,MMP8/MMP13/MMP3/MMP1/MMP10/CTSK/DPP4/CTSL/CTSS/ADAMTS4/MMP9,11,0,,
GO:0031497,GO:0031497,GO:0031497,chromatin assembly,17/891,153/17913,0.001606712,0.022812622,0.018826076,CENPL/HMGB2/CHAF1A/CHAF1B/CENPO/HELLS/ASF1B/CENPH/CENPK/CENPI/NAP1L3/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,17,0,,
GO:0001837,GO:0001837,GO:0001837,epithelial to mesenchymal transition,16/891,140/17913,0.001622893,0.022914354,0.01891003,BMP2/MIR221/BMP7/BMP4/TMEM100/MDK/SFRP1/FGFR2/EZH2/COL1A1/WNT2/KBTBD8/TIAM1/FAM83D/LDLRAD4/WNT4,16,0,,
GO:1904064,GO:1904064,GO:1904064,positive regulation of cation transmembrane transport,16/891,140/17913,0.001622893,0.022914354,0.01891003,HAP1/CEMIP/AGT/BDKRB1/CACNB2/PLCG2/CAPN3/CTSS/ANK2/JPH2/F2R/DRD1/ATP1B1/NTSR1/FGF14/RGS9,16,0,,
GO:0035051,GO:0035051,GO:0035051,cardiocyte differentiation,17/891,154/17913,0.001724626,0.024242452,0.020006041,BMP2/AGT/BMP7/HAND2/BMP4/DLL1/GATA6/SEMA3C/TENM4/SLC8A1/ACTC1/NOX4/NRG1/CDK1/CCNB1/SORBS2/VCAM1,17,0,,
GO:0001933,GO:0001933,GO:0001933,negative regulation of protein phosphorylation,35/891,416/17913,0.001729013,0.024242452,0.020006041,MIR221/BMP7/DUSP6/BDKRB1/CAMK2N2/BDKRB2/PPARGC1A/BMP4/SFRP1/GBA/CADM4/DUSP4/SOCS3/TRIB2/EZR/CEP85/PKIA/PRR5L/DUSP8/DEPTOR/ENPP1/FOXM1/PMEPA1/PLK1/RASSF2/PBK/IGFBP3/CCNB1/GADD45B/LDLRAD4/LIF/DACT1/MIR503/F2RL1/CHRNA9,35,0,,
GO:1905332,GO:1905332,GO:1905332,positive regulation of morphogenesis of an epithelium,7/891,36/17913,0.001731263,0.024242452,0.020006041,MIR221/AGT/BMP4/MDK/WNT2/LIF/WNT4,7,0,,
GO:0045667,GO:0045667,GO:0045667,regulation of osteoblast differentiation,15/891,128/17913,0.001744264,0.024357394,0.020100897,BMP2/BMP7/HAND2/BMP4/BMP6/SFRP1/CEBPB/FGFR2/FBXO5/BMPR1B/ID4/GLI1/RASSF2/GDF10/WNT4,15,0,,
GO:0032330,GO:0032330,GO:0032330,regulation of chondrocyte differentiation,8/891,46/17913,0.001760025,0.024510152,0.02022696,PTHLH/SCIN/BMP4/BMP6/MDK/GLI2/BMPR1B/GDF6,8,0,,
GO:0001823,GO:0001823,GO:0001823,mesonephros development,13/891,103/17913,0.001771828,0.024540064,0.020251645,BMP2/PGF/AGT/BMP7/TACSTD2/BMP4/SFRP1/KIF26B/FGF1/FGFR2/CRLF1/SDC1/WNT4,13,0,,
GO:0014812,GO:0014812,GO:0014812,muscle cell migration,13/891,103/17913,0.001771828,0.024540064,0.020251645,MIR221/AGT/PPARGC1A/ADAMTS1/NR4A3/MDK/NET1/TPM1/NOX4/IGFBP3/POSTN/SERPINE1/MIR503,13,0,,
GO:0001958,GO:0001958,GO:0001958,endochondral ossification,6/891,27/17913,0.001792903,0.024564222,0.020271581,BMP4/BMP6/SMPD3/COL1A1/TEK/SCX,6,0,,
GO:0009651,GO:0009651,GO:0009651,response to salt stress,6/891,27/17913,0.001792903,0.024564222,0.020271581,BDKRB2/CAPN3/AKR1B1/AQP1/EFHD1/PAPPA2,6,0,,
GO:0010714,GO:0010714,GO:0010714,positive regulation of collagen metabolic process,6/891,27/17913,0.001792903,0.024564222,0.020271581,BMP4/UCN/F2R/SERPINB7/SCX/WNT4,6,0,,
GO:0036075,GO:0036075,GO:0036075,replacement ossification,6/891,27/17913,0.001792903,0.024564222,0.020271581,BMP4/BMP6/SMPD3/COL1A1/TEK/SCX,6,0,,
GO:0014909,GO:0014909,GO:0014909,smooth muscle cell migration,12/891,91/17913,0.001799899,0.024593774,0.020295969,MIR221/AGT/PPARGC1A/ADAMTS1/NR4A3/MDK/TPM1/NOX4/IGFBP3/POSTN/SERPINE1/MIR503,12,0,,
GO:0034599,GO:0034599,GO:0034599,cellular response to oxidative stress,27/891,296/17913,0.001811397,0.024684539,0.020370873,MMP3/GJB2/NOX5/BMP7/HMOX1/PPARGC1A/NR4A2/NR4A3/DAPK1/TREX1/HSPA1A/SMPD3/DHFR/ECT2/EZH2/PRR5L/NET1/AQP1/FANCD2/PYCR1/MET/TPM1/NOX4/CDK1/MELK/CCNA2/MMP9,27,0,,
GO:0007411,GO:0007411,GO:0007411,axon guidance,21/891,210/17913,0.001868997,0.025401362,0.020962429,ARTN/SHC3/BMP7/MATN2/NR4A3/NTN1/EFNB3/APBB2/NCAM1/NFASC/NFIB/DOK6/EZR/UNC5B/GLI2/NRCAM/BMPR1B/SEMA3C/TUBB2B/KIF5C/DRAXIN,21,0,,
GO:0044706,GO:0044706,GO:0044706,multi-multicellular organism process,22/891,225/17913,0.001964096,0.026622666,0.021970308,PSG1/PTGS2/GJB2/STC1/PGF/AGT/LGALS9/PTHLH/DDO/AKR1B1/UCN/GNRH1/UCP2/B4GALT1/SPP1/ADCY7/DSG2/OXTR/MMP9/LIF/PSG4/WNT4,22,0,,
GO:0061041,GO:0061041,GO:0061041,regulation of wound healing,16/891,143/17913,0.002023586,0.027138076,0.02239565,SERPINB2/MIR221/F3/CAPN3/DUOX1/CADM4/MYLK/F2R/ADTRP/WFDC1/PLAT/SERPINE1/MYOZ1/F2RL1/HBEGF/WNT4,16,0,,
GO:0062013,GO:0062013,GO:0062013,positive regulation of small molecule metabolic process,16/891,143/17913,0.002023586,0.027138076,0.02239565,PTGS2/PPARGC1A/BMP6/NR4A3/ABCG1/FGF1/DYRK2/PFKFB4/HTR2A/ZBTB20/EGF/NTSR1/CDK1/SORBS1/CCNB1/WNT4,16,0,,
GO:0045023,GO:0045023,GO:0045023,G0 to G1 transition,8/891,47/17913,0.002030235,0.027138076,0.02239565,RBBP8/EZH2/CDC7/RAD51/E2F1/BRCA1/RRM2/MIR503,8,0,,
GO:0072698,GO:0072698,GO:0072698,protein localization to microtubule cytoskeleton,8/891,47/17913,0.002030235,0.027138076,0.02239565,ABHD17C/CEP72/STIL/SPAG5/KIF20B/AURKA/FAM83D/TTK,8,0,,
GO:0046683,GO:0046683,GO:0046683,response to organophosphorus,15/891,130/17913,0.002035795,0.027138076,0.02239565,VGF/PTGS2/STC1/AKR1C1/DUOX1/EZR/SPARC/TYMS/COL1A1/AQP1/RFC3/SLC8A1/TEK/NOX4/SDC1,15,0,,
GO:0071824,GO:0071824,GO:0071824,protein-DNA complex subunit organization,23/891,240/17913,0.002040962,0.027138076,0.02239565,CENPL/GMNN/HMGB2/ANP32E/CHAF1A/RAD51/CHAF1B/CDT1/CENPO/HELLS/ASF1B/CENPH/CENPK/CENPI/NAP1L3/CENPM/CENPN/CENPU/CENPF/OIP5/CENPE/CENPA/HJURP,23,0,,
GO:0032467,GO:0032467,GO:0032467,positive regulation of cytokinesis,7/891,37/17913,0.002045002,0.027138076,0.02239565,ECT2/RACGAP1/CDC6/KIF23/AURKB/KIF20B/KIF14,7,0,,
GO:1901021,GO:1901021,GO:1901021,positive regulation of calcium ion transmembrane transporter activity,7/891,37/17913,0.002045002,0.027138076,0.02239565,HAP1/CACNB2/PLCG2/ANK2/JPH2/ATP1B1/FGF14,7,0,,
GO:0048771,GO:0048771,GO:0048771,tissue remodeling,18/891,170/17913,0.002050171,0.027138076,0.02239565,RSPO3/DLL4/HTR1B/AGT/CTSK/S1PR1/HAND2/TNFRSF11B/MDK/PDK4/SFRP1/GPNMB/F2R/SEMA3C/NOX4/RASSF2/TGM2/LIF,18,0,,
GO:0097485,GO:0097485,GO:0097485,neuron projection guidance,21/891,212/17913,0.002098946,0.02771154,0.0228689,ARTN/SHC3/BMP7/MATN2/NR4A3/NTN1/EFNB3/APBB2/NCAM1/NFASC/NFIB/DOK6/EZR/UNC5B/GLI2/NRCAM/BMPR1B/SEMA3C/TUBB2B/KIF5C/DRAXIN,21,0,,
GO:0060401,GO:0060401,GO:0060401,cytosolic calcium ion transport,17/891,157/17913,0.002122909,0.027793199,0.022936289,HAP1/MCOLN2/CEMIP/BDKRB1/MCOLN3/PLCG2/TMEM38A/CAPN3/TMEM38B/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/NTSR1/JPH3,17,0,,
GO:0015807,GO:0015807,GO:0015807,L-amino acid transport,9/891,58/17913,0.002124051,0.027793199,0.022936289,AGT/SLC17A7/SLC25A29/SLC38A1/SLC7A1/SLC43A2/SLC1A4/NTSR1/SLC7A5,9,0,,
GO:0009410,GO:0009410,GO:0009410,response to xenobiotic stimulus,25/891,270/17913,0.0021453,0.027793199,0.022936289,HTR1B/FMO3/GJB2/TDO2/AKR7L/AKR1C1/PPARGC1A/NR4A2/TMEM38A/TMEM38B/GBA/EPHX1/CYP2D7/EIF4EBP1/E2F1/FBXO32/AQP1/HTR2A/DRD1/SLC8A1/PHGDH/CCNA2/RGS9/TIAM1/OXTR,25,0,,
GO:0010212,GO:0010212,GO:0010212,response to ionizing radiation,16/891,144/17913,0.002174253,0.027793199,0.022936289,TREX1/SFRP1/RRM1/XRCC4/ECT2/TICRR/RAD51/NET1/XRCC2/BLM/BRCA1/FANCD2/BRCA2/NOX4/RAD51AP1/VCAM1,16,0,,
GO:0042063,GO:0042063,GO:0042063,gliogenesis,26/891,285/17913,0.002175645,0.027793199,0.022936289,NRROS/BMP2/KLF15/LGI4/MIR221/MATN2/TLR2/MDK/DLL1/NFIB/EZH2/CDH2/E2F1/DRD1/TENM4/SYNE2/ID4/ADGRG6/NRG1/PHGDH/CDK1/ZNF365/TIAM1/LIF/GPR183/TSPAN2,26,0,,
GO:0000212,GO:0000212,GO:0000212,meiotic spindle organization,4/891,12/17913,0.002182982,0.027793199,0.022936289,FBXO5/ESPL1/AURKA/ASPM,4,0,,
GO:0051299,GO:0051299,GO:0051299,centrosome separation,4/891,12/17913,0.002182982,0.027793199,0.022936289,CEP85/KIF11/AURKA/NEK2,4,0,,
GO:0060442,GO:0060442,GO:0060442,branching involved in prostate gland morphogenesis,4/891,12/17913,0.002182982,0.027793199,0.022936289,BMP7/BMP4/SFRP1/FGFR2,4,0,,
GO:0060670,GO:0060670,GO:0060670,branching involved in labyrinthine layer morphogenesis,4/891,12/17913,0.002182982,0.027793199,0.022936289,RSPO3/SOCS3/FGFR2/SPINT2,4,0,,
GO:0070493,GO:0070493,GO:0070493,thrombin-activated receptor signaling pathway,4/891,12/17913,0.002182982,0.027793199,0.022936289,F2R/MET/F2RL2/F2RL1,4,0,,
GO:0071472,GO:0071472,GO:0071472,cellular response to salt stress,4/891,12/17913,0.002182982,0.027793199,0.022936289,CAPN3/AKR1B1/AQP1/EFHD1,4,0,,
GO:1904668,GO:1904668,GO:1904668,positive regulation of ubiquitin protein ligase activity,4/891,12/17913,0.002182982,0.027793199,0.022936289,UBE2S/PLK1/UBE2C/CDC20,4,0,,
GO:2001198,GO:2001198,GO:2001198,regulation of dendritic cell differentiation,4/891,12/17913,0.002182982,0.027793199,0.022936289,TMEM176B/TMEM176A/LGALS9/CEBPB,4,0,,
GO:0034698,GO:0034698,GO:0034698,response to gonadotropin,6/891,28/17913,0.002187149,0.027793199,0.022936289,GJB2/PPARGC1A/GATA6/INHBA/ASNS/CCNA2,6,0,,
GO:0051294,GO:0051294,GO:0051294,establishment of spindle orientation,6/891,28/17913,0.002187149,0.027793199,0.022936289,MAD2L1/PLK1/SPDL1/CENPA/NDC80/SAPCD2,6,0,,
GO:0032103,GO:0032103,GO:0032103,positive regulation of response to external stimulus,28/891,315/17913,0.002199845,0.027884817,0.023011896,MMP8/PTGS2/CCL26/CXCL8/MIR221/AGT/ARTN/LGALS9/TLR2/VAMP8/S1PR1/F3/BMP6/NEAT1/MDK/SCG2/GPRC5B/CEBPB/TNFSF4/CAMK1D/TUBB2B/PTGER3/MET/GBP5/TIAM1/SERPINE1/TGM2/F2RL1,28,0,,
GO:0034764,GO:0034764,GO:0034764,positive regulation of transmembrane transport,20/891,199/17913,0.002233303,0.028168435,0.023245952,HAP1/KLF15/CEMIP/AGT/BDKRB1/CACNB2/PLCG2/CAPN3/NR4A3/CTSS/CLTCL1/ANK2/JPH2/F2R/DRD1/ATP1B1/NTSR1/FGF14/SORBS1/RGS9,20,0,,
GO:0048762,GO:0048762,GO:0048762,mesenchymal cell differentiation,20/891,199/17913,0.002233303,0.028168435,0.023245952,BMP2/MIR221/BMP7/HAND2/BMP4/TMEM100/MDK/SFRP1/FGFR2/EZH2/FN1/COL1A1/SEMA3C/WNT2/NRG1/KBTBD8/TIAM1/FAM83D/LDLRAD4/WNT4,20,0,,
